age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,plus_50
30.0,2,194901.0,1,7.0,4,5,3,4,1,0.0,0.0,40.0,38,0
31.0,1,189265.0,11,9.0,4,0,1,4,0,0.0,0.0,40.0,38,0
42.0,2,124692.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,0
24.0,2,432376.0,9,13.0,4,11,2,4,1,0.0,0.0,40.0,38,0
38.0,2,65324.0,14,15.0,2,9,0,4,1,0.0,0.0,40.0,38,1
56.0,4,335605.0,11,9.0,2,7,0,4,1,0.0,1887.0,50.0,1,1
28.0,2,377869.0,15,10.0,2,11,5,4,0,4064.0,0.0,25.0,38,0
36.0,2,102864.0,11,9.0,4,6,3,4,0,0.0,0.0,40.0,38,0
53.0,2,95647.0,6,5.0,2,5,0,4,1,0.0,0.0,50.0,38,0
56.0,3,303090.0,15,10.0,2,11,0,4,1,0.0,0.0,50.0,38,0
49.0,1,197371.0,8,11.0,2,2,0,2,1,0.0,0.0,40.0,38,1
55.0,2,247552.0,15,10.0,2,11,0,4,1,0.0,0.0,56.0,38,0
22.0,2,102632.0,11,9.0,4,2,1,4,1,0.0,0.0,41.0,38,0
21.0,2,199915.0,15,10.0,4,7,3,4,0,0.0,0.0,40.0,38,0
40.0,2,118853.0,9,13.0,2,3,0,4,1,0.0,0.0,60.0,38,0
30.0,2,77143.0,9,13.0,4,3,3,2,1,0.0,0.0,40.0,10,0
29.0,5,267989.0,9,13.0,2,9,0,4,1,0.0,0.0,50.0,38,1
19.0,2,301606.0,15,10.0,4,7,3,2,1,0.0,0.0,35.0,38,0
47.0,2,287828.0,9,13.0,2,3,5,4,0,0.0,0.0,40.0,38,1
20.0,2,111697.0,15,10.0,4,0,3,4,0,0.0,1719.0,28.0,38,0
31.0,2,114937.0,7,12.0,2,0,0,4,1,0.0,0.0,40.0,38,1
39.0,2,365739.0,15,10.0,0,2,1,4,1,0.0,0.0,40.0,38,0
28.0,2,69621.0,7,12.0,4,11,1,4,0,0.0,0.0,60.0,38,0
24.0,2,43323.0,11,9.0,4,7,1,4,0,0.0,1762.0,40.0,38,0
38.0,4,120985.0,11,9.0,2,2,0,4,1,4386.0,0.0,35.0,38,0
37.0,2,254202.0,9,13.0,2,11,0,4,1,0.0,0.0,50.0,38,0
46.0,2,146195.0,7,12.0,0,12,1,2,0,0.0,0.0,36.0,38,0
38.0,0,125933.0,12,14.0,2,9,0,4,1,0.0,0.0,40.0,19,1
43.0,4,56920.0,11,9.0,2,2,0,4,1,0.0,0.0,60.0,38,0
27.0,2,163127.0,8,11.0,2,0,5,4,0,0.0,0.0,35.0,38,0
20.0,2,34310.0,15,10.0,4,11,3,4,1,0.0,0.0,20.0,38,0
49.0,2,81973.0,15,10.0,2,2,0,1,1,0.0,0.0,40.0,38,1
61.0,3,66614.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0
27.0,2,232782.0,15,10.0,4,11,3,4,0,0.0,0.0,40.0,38,0
19.0,2,316868.0,15,10.0,4,7,3,4,1,0.0,0.0,30.0,25,0
45.0,2,196584.0,8,11.0,4,9,1,4,0,0.0,1564.0,40.0,38,1
70.0,2,105376.0,15,10.0,4,12,2,4,1,0.0,0.0,40.0,38,0
31.0,2,185814.0,11,9.0,4,13,4,2,0,0.0,0.0,30.0,38,0
22.0,2,175374.0,15,10.0,2,7,0,4,1,0.0,0.0,24.0,38,0
36.0,2,108293.0,11,9.0,6,7,4,4,0,0.0,0.0,24.0,38,0
64.0,2,181232.0,1,7.0,2,2,0,4,1,0.0,2179.0,40.0,38,0
47.0,1,186009.0,15,10.0,0,0,4,4,0,0.0,0.0,38.0,25,0
34.0,2,198183.0,11,9.0,4,0,1,4,0,0.0,0.0,40.0,38,0
33.0,2,163003.0,9,13.0,4,3,2,1,0,0.0,0.0,40.0,29,0
21.0,2,296158.0,11,9.0,4,2,3,4,1,0.0,0.0,35.0,38,0
48.0,2,187715.0,11,9.0,2,2,0,4,1,0.0,0.0,46.0,38,0
23.0,2,214542.0,9,13.0,4,5,1,4,1,0.0,0.0,40.0,38,0
71.0,4,494223.0,15,10.0,5,11,4,2,1,0.0,1816.0,2.0,38,0
29.0,2,191535.0,11,9.0,0,2,1,4,1,0.0,0.0,60.0,38,0
42.0,2,228456.0,9,13.0,5,7,2,2,1,0.0,0.0,50.0,38,0
25.0,2,252752.0,11,9.0,4,7,4,4,0,0.0,0.0,40.0,38,0
44.0,3,78374.0,12,14.0,0,3,4,1,0,0.0,0.0,40.0,38,0
28.0,2,88419.0,11,9.0,4,3,1,1,0,0.0,0.0,40.0,8,0
45.0,4,201080.0,12,14.0,2,11,0,4,1,0.0,0.0,40.0,38,1
36.0,2,207157.0,15,10.0,0,7,4,4,0,0.0,0.0,40.0,25,0
39.0,0,235485.0,7,12.0,4,3,1,4,1,0.0,0.0,42.0,38,0
46.0,5,102628.0,12,14.0,6,10,4,4,1,0.0,0.0,40.0,38,0
18.0,2,25828.0,1,7.0,4,5,3,4,1,0.0,0.0,16.0,38,0
66.0,1,54826.0,8,11.0,6,9,1,4,0,0.0,0.0,20.0,38,0
27.0,2,124953.0,11,9.0,4,7,1,4,1,0.0,1980.0,40.0,38,0
28.0,5,175325.0,11,9.0,2,10,0,4,1,0.0,0.0,40.0,38,0
51.0,2,96062.0,15,10.0,2,11,0,4,1,0.0,1977.0,40.0,38,1
27.0,2,428030.0,9,13.0,4,2,1,4,1,0.0,0.0,50.0,38,0
28.0,5,149624.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,1
27.0,2,253814.0,11,9.0,3,11,4,4,0,0.0,0.0,25.0,38,0
21.0,2,312956.0,11,9.0,4,2,3,2,1,0.0,0.0,40.0,38,0
34.0,2,483777.0,11,9.0,4,5,1,2,1,0.0,0.0,40.0,38,0
18.0,2,183930.0,11,9.0,4,7,3,4,1,0.0,0.0,12.0,38,0
33.0,2,37274.0,9,13.0,2,9,0,4,1,0.0,0.0,65.0,38,0
44.0,1,181344.0,15,10.0,2,3,0,2,1,0.0,0.0,38.0,38,1
43.0,2,114580.0,15,10.0,0,0,1,4,0,0.0,0.0,40.0,38,0
30.0,2,633742.0,15,10.0,4,2,1,2,1,0.0,0.0,45.0,38,0
40.0,2,286370.0,5,4.0,2,6,0,4,1,0.0,0.0,40.0,25,1
37.0,0,29054.0,15,10.0,2,0,0,4,1,0.0,0.0,42.0,38,1
34.0,2,304030.0,11,9.0,2,0,0,2,1,0.0,0.0,40.0,38,0
41.0,4,143129.0,9,13.0,0,3,1,4,0,0.0,0.0,40.0,38,0
31.0,2,99928.0,12,14.0,2,9,5,4,0,0.0,0.0,50.0,38,0
58.0,5,109567.0,10,16.0,2,9,0,4,1,0.0,0.0,1.0,38,1
38.0,2,155222.0,15,10.0,0,6,1,2,0,0.0,0.0,28.0,38,0
24.0,2,159567.0,15,10.0,2,6,0,4,1,0.0,0.0,40.0,38,0
41.0,1,523910.0,9,13.0,2,2,0,2,1,0.0,0.0,40.0,38,0
47.0,2,120939.0,15,10.0,2,12,0,4,1,0.0,0.0,45.0,38,0
41.0,0,130760.0,9,13.0,2,12,0,4,1,0.0,0.0,24.0,38,0
23.0,2,197387.0,4,3.0,2,13,2,4,1,0.0,0.0,40.0,25,0
36.0,2,99374.0,15,10.0,0,2,1,4,1,0.0,0.0,40.0,38,0
40.0,0,56795.0,12,14.0,4,3,1,4,0,14084.0,0.0,55.0,38,1
35.0,2,138992.0,12,14.0,2,9,2,4,1,7298.0,0.0,40.0,38,1
24.0,4,32921.0,11,9.0,4,11,1,4,1,0.0,0.0,40.0,38,0
26.0,2,397317.0,12,14.0,4,9,1,4,0,0.0,1876.0,40.0,38,0
51.0,2,259323.0,9,13.0,2,3,0,4,1,0.0,0.0,50.0,38,1
42.0,1,254817.0,15,10.0,4,9,1,4,0,0.0,1340.0,40.0,38,0
37.0,5,48211.0,11,9.0,0,0,4,4,0,0.0,0.0,35.0,38,0
18.0,2,140164.0,1,7.0,4,11,3,4,0,0.0,0.0,40.0,38,0
36.0,2,128757.0,9,13.0,2,7,0,2,1,7298.0,0.0,36.0,38,1
35.0,2,36270.0,11,9.0,0,2,1,4,1,0.0,0.0,60.0,38,0
58.0,3,210563.0,11,9.0,2,11,5,4,0,15024.0,0.0,35.0,38,1
17.0,2,65368.0,1,7.0,4,11,3,4,0,0.0,0.0,12.0,38,0
44.0,1,160943.0,11,9.0,2,13,0,2,1,0.0,0.0,40.0,38,0
37.0,2,208358.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,1
35.0,2,153790.0,15,10.0,4,11,1,0,0,0.0,0.0,40.0,38,0
60.0,2,85815.0,11,9.0,2,2,0,1,1,0.0,0.0,40.0,38,0
54.0,3,125417.0,5,4.0,2,6,0,4,1,0.0,0.0,40.0,38,1
37.0,2,635913.0,9,13.0,4,3,1,2,1,0.0,0.0,60.0,38,1
50.0,2,313321.0,7,12.0,0,11,1,4,0,0.0,0.0,40.0,38,0
38.0,2,182609.0,9,13.0,2,11,0,4,1,0.0,0.0,50.0,30,0
45.0,2,109434.0,9,13.0,2,9,0,4,1,0.0,0.0,55.0,38,0
25.0,2,255004.0,0,6.0,4,2,1,4,1,0.0,0.0,40.0,38,0
31.0,2,197860.0,15,10.0,2,5,0,4,1,0.0,0.0,40.0,38,0
90.0,2,51744.0,11,9.0,4,7,1,2,1,0.0,2206.0,40.0,38,0
54.0,2,176681.0,11,9.0,2,0,0,2,1,0.0,0.0,20.0,38,0
53.0,1,140359.0,13,1.0,4,6,1,4,0,0.0,0.0,35.0,38,0
18.0,2,243313.0,11,9.0,4,11,3,4,0,0.0,0.0,40.0,38,0
66.0,4,167687.0,11,9.0,2,4,0,4,1,1409.0,0.0,50.0,38,0
75.0,2,314209.0,8,11.0,6,0,1,4,0,0.0,0.0,20.0,3,0
65.0,2,176796.0,11,9.0,0,0,1,4,0,0.0,0.0,40.0,38,0
35.0,2,538583.0,1,7.0,5,13,1,2,1,3674.0,0.0,40.0,38,0
41.0,2,130408.0,11,9.0,0,11,4,2,0,0.0,0.0,38.0,38,0
25.0,2,159732.0,15,10.0,4,0,1,4,1,0.0,0.0,42.0,38,0
33.0,2,110978.0,15,10.0,0,2,2,3,0,0.0,0.0,40.0,38,0
28.0,2,76714.0,14,15.0,4,9,1,4,1,0.0,0.0,55.0,38,1
59.0,5,268700.0,11,9.0,2,7,0,4,1,0.0,0.0,40.0,38,0
40.0,5,170525.0,15,10.0,4,0,1,4,0,0.0,0.0,38.0,38,0
41.0,2,180138.0,9,13.0,2,3,0,4,1,0.0,0.0,50.0,19,1
38.0,1,115076.0,12,14.0,2,3,0,4,1,0.0,0.0,70.0,38,1
23.0,2,115458.0,11,9.0,4,13,3,4,1,0.0,0.0,40.0,38,0
40.0,2,347890.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,1
41.0,4,196001.0,11,9.0,2,7,5,4,0,0.0,0.0,20.0,38,0
24.0,5,273905.0,7,12.0,2,10,0,4,1,0.0,0.0,50.0,38,0
38.0,2,179488.0,15,10.0,0,2,1,4,1,0.0,1741.0,40.0,38,0
58.0,2,236596.0,11,9.0,2,0,0,4,1,0.0,0.0,45.0,38,1
32.0,2,183916.0,11,9.0,4,7,1,4,0,0.0,0.0,34.0,38,0
40.0,2,207578.0,7,12.0,2,12,0,4,1,0.0,1977.0,60.0,38,1
41.0,2,112763.0,14,15.0,2,9,5,4,0,0.0,0.0,40.0,38,1
42.0,2,390781.0,9,13.0,2,0,5,2,0,0.0,0.0,40.0,38,0
59.0,1,171328.0,0,6.0,6,7,4,2,0,0.0,0.0,30.0,38,0
19.0,1,27382.0,15,10.0,4,0,3,4,1,0.0,0.0,40.0,38,0
58.0,2,259014.0,15,10.0,4,13,1,4,1,0.0,0.0,20.0,38,0
42.0,4,303044.0,11,9.0,2,4,0,1,1,0.0,0.0,40.0,0,1
20.0,2,117789.0,11,9.0,4,7,3,4,0,0.0,0.0,40.0,38,0
32.0,2,172579.0,11,9.0,5,7,1,4,0,0.0,0.0,30.0,38,0
45.0,2,187666.0,8,11.0,6,3,1,4,0,0.0,0.0,45.0,38,0
50.0,2,204518.0,5,4.0,0,2,1,4,1,0.0,0.0,40.0,38,0
36.0,2,150042.0,9,13.0,0,9,3,4,0,0.0,0.0,40.0,38,0
45.0,2,98092.0,11,9.0,2,11,0,4,1,0.0,0.0,60.0,38,0
17.0,2,245918.0,1,7.0,4,7,3,4,1,0.0,0.0,12.0,38,0
59.0,2,146013.0,15,10.0,2,11,0,4,1,4064.0,0.0,40.0,38,0
26.0,2,378322.0,1,7.0,2,2,0,4,1,0.0,0.0,40.0,38,0
37.0,3,257295.0,15,10.0,2,3,0,1,1,0.0,0.0,75.0,36,1
64.0,2,21174.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,38,1
33.0,2,185480.0,9,13.0,4,9,1,4,0,0.0,0.0,45.0,38,0
33.0,2,222205.0,11,9.0,2,2,5,4,0,0.0,0.0,40.0,38,1
61.0,2,69867.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,38,1
17.0,2,191260.0,6,5.0,4,7,3,4,1,1055.0,0.0,24.0,38,0
50.0,4,30653.0,12,14.0,2,4,0,4,1,2407.0,0.0,98.0,38,0
27.0,1,209109.0,12,14.0,4,9,3,4,1,0.0,0.0,35.0,38,0
30.0,2,70377.0,11,9.0,0,9,3,4,0,0.0,0.0,40.0,38,0
43.0,2,477983.0,11,9.0,2,5,0,2,1,0.0,0.0,40.0,38,0
44.0,2,170924.0,15,10.0,2,2,0,4,1,7298.0,0.0,40.0,38,1
35.0,2,190174.0,15,10.0,4,3,1,4,0,0.0,0.0,40.0,38,0
25.0,2,193787.0,15,10.0,4,12,3,4,0,0.0,0.0,40.0,38,0
24.0,2,279472.0,15,10.0,2,6,5,4,0,7298.0,0.0,48.0,38,1
22.0,2,34918.0,9,13.0,4,9,1,4,0,0.0,0.0,15.0,10,0
42.0,1,97688.0,15,10.0,2,2,0,4,1,5178.0,0.0,40.0,38,1
34.0,2,175413.0,7,12.0,0,11,4,2,0,0.0,0.0,45.0,38,0
60.0,2,173960.0,9,13.0,0,9,1,4,0,0.0,0.0,42.0,38,0
21.0,2,205759.0,11,9.0,4,5,3,4,1,0.0,0.0,40.0,38,0
57.0,0,425161.0,12,14.0,2,11,0,4,1,15024.0,0.0,40.0,38,1
41.0,2,220531.0,14,15.0,2,9,0,4,1,0.0,0.0,60.0,38,1
50.0,2,176609.0,15,10.0,0,7,1,4,1,0.0,0.0,45.0,38,0
25.0,2,371987.0,9,13.0,4,3,1,4,0,0.0,0.0,40.0,38,0
50.0,2,193884.0,5,4.0,2,2,0,4,1,0.0,0.0,40.0,6,0
36.0,2,200352.0,9,13.0,2,9,0,4,1,0.0,0.0,45.0,38,0
31.0,2,127595.0,11,9.0,0,9,1,4,0,0.0,0.0,40.0,38,0
29.0,1,220419.0,9,13.0,4,10,1,4,1,0.0,0.0,56.0,38,0
21.0,2,231931.0,15,10.0,4,11,3,4,1,0.0,0.0,45.0,38,0
27.0,2,248402.0,9,13.0,4,12,4,2,0,0.0,0.0,40.0,38,0
65.0,2,111095.0,11,9.0,2,13,0,4,1,0.0,0.0,16.0,38,0
37.0,3,57424.0,9,13.0,0,11,1,4,0,0.0,0.0,60.0,38,0
24.0,2,278130.0,11,9.0,4,2,3,4,1,0.0,0.0,40.0,38,0
38.0,2,169469.0,11,9.0,0,11,1,4,1,0.0,0.0,80.0,38,0
48.0,2,146268.0,9,13.0,2,0,0,4,1,7688.0,0.0,40.0,38,1
21.0,2,153718.0,15,10.0,4,7,1,1,0,0.0,0.0,25.0,38,0
31.0,2,217460.0,11,9.0,2,13,0,4,1,0.0,0.0,45.0,38,1
55.0,2,238638.0,11,9.0,2,11,0,4,1,4386.0,0.0,40.0,38,1
24.0,2,303296.0,15,10.0,2,0,5,1,0,0.0,0.0,40.0,24,0
43.0,2,173321.0,11,9.0,0,0,1,4,0,0.0,0.0,40.0,38,0
26.0,2,193945.0,7,12.0,4,12,1,4,1,0.0,0.0,45.0,38,0
46.0,2,83082.0,7,12.0,4,9,1,4,0,0.0,0.0,33.0,38,0
35.0,2,193815.0,7,12.0,2,0,0,4,1,0.0,0.0,40.0,38,1
41.0,3,34987.0,15,10.0,2,4,0,4,1,0.0,0.0,54.0,38,1
26.0,2,59306.0,9,13.0,4,11,1,4,1,0.0,0.0,40.0,38,0
34.0,2,142897.0,12,14.0,2,3,0,1,1,7298.0,0.0,35.0,35,1
36.0,4,205607.0,9,13.0,0,9,1,2,0,0.0,0.0,40.0,38,1
22.0,2,199698.0,15,10.0,4,11,3,4,1,0.0,0.0,15.0,38,0
24.0,2,191954.0,15,10.0,4,6,1,4,1,0.0,0.0,40.0,38,0
77.0,4,138714.0,15,10.0,2,11,0,4,1,0.0,0.0,40.0,38,0
22.0,2,399087.0,4,3.0,2,6,2,4,0,0.0,0.0,40.0,25,0
29.0,2,423158.0,15,10.0,4,12,1,4,0,0.0,0.0,40.0,38,0
62.0,2,159841.0,11,9.0,6,7,1,4,0,0.0,0.0,24.0,38,0
39.0,4,174308.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,38,0
43.0,2,50356.0,15,10.0,2,2,0,4,1,0.0,1485.0,50.0,38,0
35.0,2,186110.0,11,9.0,0,13,1,4,1,0.0,0.0,45.0,38,0
29.0,2,200381.0,1,7.0,4,3,1,4,0,0.0,0.0,40.0,38,0
76.0,4,174309.0,12,14.0,2,2,0,4,1,0.0,0.0,10.0,38,0
63.0,4,78383.0,11,9.0,2,4,0,4,1,0.0,0.0,45.0,38,0
43.0,2,187728.0,15,10.0,2,9,5,4,0,0.0,1887.0,50.0,38,1
58.0,4,321171.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,0
66.0,2,127921.0,11,9.0,4,13,1,4,1,2050.0,0.0,55.0,38,0
41.0,2,206565.0,15,10.0,4,2,1,2,1,0.0,0.0,45.0,38,0
26.0,2,224563.0,9,13.0,4,0,1,4,1,0.0,0.0,40.0,38,0
47.0,2,178686.0,8,11.0,4,7,1,4,1,0.0,0.0,40.0,38,0
55.0,1,98545.0,0,6.0,2,0,0,4,1,0.0,0.0,40.0,38,0
53.0,2,242606.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,0
17.0,2,270942.0,4,3.0,4,7,2,4,1,0.0,0.0,48.0,25,0
30.0,2,94235.0,11,9.0,4,2,2,4,1,0.0,0.0,40.0,38,0
49.0,2,71195.0,12,14.0,4,9,1,4,1,0.0,0.0,60.0,38,0
19.0,2,104112.0,11,9.0,4,11,4,2,1,0.0,0.0,30.0,13,0
45.0,2,261192.0,11,9.0,2,7,0,2,1,0.0,0.0,40.0,38,0
26.0,2,94936.0,7,12.0,4,11,1,4,1,0.0,0.0,40.0,38,0
38.0,2,296478.0,8,11.0,2,2,0,4,1,7298.0,0.0,40.0,38,1
36.0,5,119272.0,11,9.0,2,10,0,4,1,7298.0,0.0,40.0,38,1
33.0,2,85043.0,11,9.0,4,4,1,4,1,0.0,0.0,20.0,38,0
22.0,5,293364.0,15,10.0,4,10,3,2,0,0.0,0.0,40.0,38,0
